QSPRID,SMILES,Molecule Name,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro),QSPRID,pIC50 (SARS-CoV-2 Mpro)_original,Split_IsTrain,predicted SARS
MultiTaskTutorialDataset_104,CNCCN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2CS(=O)(=O)N(C)C)c2cc(Cl)ccc2C1=O,ASAP-0015777,Test,4.75,7.12,MultiTaskTutorialDataset_104,7.12,True,7.0876126
MultiTaskTutorialDataset_105,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(C1CCNCC1)C(=O)c1ccc(Cl)cc12,ASAP-0015900,Test,6.33,7.62,MultiTaskTutorialDataset_105,7.62,True,6.6397557
MultiTaskTutorialDataset_106,O=C1c2ccc(Cl)cc2[C@@]2(CN1CC1COC1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ccncn1,ASAP-0015904,Test,7.04,7.59,MultiTaskTutorialDataset_106,7.59,False,7.238241
MultiTaskTutorialDataset_107,Cc1nnc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3ccncn3)c3cc(Cl)ccc3C2=O)o1,ASAP-0015906,Test,6.77,7.54,MultiTaskTutorialDataset_107,7.54,False,7.1838236
MultiTaskTutorialDataset_108,C=CC(=O)N1CCCc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc21,ASAP-0016094,Test,6.16,7.74,MultiTaskTutorialDataset_108,7.74,True,6.5121703
MultiTaskTutorialDataset_109,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2N)c2cc(Cl)ccc2C1=O,ASAP-0016508,Test,5.69,7.29,MultiTaskTutorialDataset_109,7.29,True,6.561688
MultiTaskTutorialDataset_110,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1ccnnc1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ccncn1,ASAP-0016539,Test,7.29,8.02,MultiTaskTutorialDataset_110,8.02,False,7.4740067
MultiTaskTutorialDataset_111,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2COCC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0016541,Test,5.86,7.88,MultiTaskTutorialDataset_111,7.88,True,6.498607
MultiTaskTutorialDataset_112,C[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CCN1CCC1)C(=O)c1ccc(Cl)cc12,ASAP-0016542,Test,6.03,7.4,MultiTaskTutorialDataset_112,7.4,True,7.4127803
MultiTaskTutorialDataset_113,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NC(C)C)c2cc(Cl)ccc2C1=O,ASAP-0016543,Test,5.18,6.71,MultiTaskTutorialDataset_113,6.71,True,6.155344
MultiTaskTutorialDataset_114,C[C@@H]1CN(CCN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3C)c3cc(Cl)ccc3C2=O)C[C@H](C)O1,ASAP-0016591,Test,6.49,7.57,MultiTaskTutorialDataset_114,7.57,True,7.470637
MultiTaskTutorialDataset_115,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NC)c2cc(Cl)ccc2C1=O,ASAP-0016592,Test,5.97,8.07,MultiTaskTutorialDataset_115,8.07,True,6.2660003
MultiTaskTutorialDataset_116,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NS(C)(=O)=O)c2cc(Cl)ccc2C1=O,ASAP-0016838,Test,4.75,6.26,MultiTaskTutorialDataset_116,6.26,True,6.3605924
MultiTaskTutorialDataset_117,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NCC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0016902,Test,5.89,8.65,MultiTaskTutorialDataset_117,8.65,True,6.343399
MultiTaskTutorialDataset_118,COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C,ASAP-0016973,Test,4.37,4.35,MultiTaskTutorialDataset_118,4.35,True,5.894826
MultiTaskTutorialDataset_119,COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C,ASAP-0016974,Test,7.18,8.68,MultiTaskTutorialDataset_119,8.68,True,5.894826
MultiTaskTutorialDataset_120,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1nnco1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1ncncn1,ASAP-0017058,Test,6.81,7.3,MultiTaskTutorialDataset_120,7.3,False,7.4322424
MultiTaskTutorialDataset_121,CCO[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NC)C(=O)c1ccc(Cl)cc12,ASAP-0017386,Test,5.57,7.37,MultiTaskTutorialDataset_121,7.37,True,6.408947
MultiTaskTutorialDataset_122,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1ccnnc1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nncs1,ASAP-0017647,Test,7.6,8.62,MultiTaskTutorialDataset_122,8.62,False,7.3064547
MultiTaskTutorialDataset_123,CNC(=O)CN1C[C@]2(C(=O)N(c3cncc4ccccc34)C[C@H]2OCC2CC2)c2cc(Cl)ccc2C1=O,ASAP-0017685,Test,5.48,8.28,MultiTaskTutorialDataset_123,8.28,True,6.369814
MultiTaskTutorialDataset_124,COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C,ASAP-0017714,Test,7.16,8.64,MultiTaskTutorialDataset_124,8.64,True,5.894826
MultiTaskTutorialDataset_125,CNC(=O)CN1C[C@@]2(C(=O)N(c3cncc4ccccc34)C[C@@H]2NC(C)=O)c2cc(Cl)ccc2C1=O,ASAP-0020941,Test,4.26,5.88,MultiTaskTutorialDataset_125,5.88,True,6.2639947
MultiTaskTutorialDataset_126,CCS(=O)(=O)N[C@H]1CN(c2cncc3ccccc23)C(=O)[C@@]12CN(CC(=O)NC)C(=O)c1ccc(Cl)cc12,ASAP-0021174,Test,4.28,6.87,MultiTaskTutorialDataset_126,6.87,True,6.3793263
MultiTaskTutorialDataset_127,Cc1nnc(Sc2cc(-c3ccccc3)nc3ncnn23)n1C,ASAP-0022922,Test,5.56,5.2,MultiTaskTutorialDataset_127,5.2,False,4.64663
MultiTaskTutorialDataset_128,O=C1c2ccc(Cl)cc2[C@@]2(CN1CC1CNC1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nccs1,ASAP-0027780,Test,7.0,8.09,MultiTaskTutorialDataset_128,8.09,False,7.523594
MultiTaskTutorialDataset_129,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cccnc2)cc1,ASAP-0027924,Test,4.51,4.99,MultiTaskTutorialDataset_129,4.99,True,6.2151375
MultiTaskTutorialDataset_130,C[C@H]1CCCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0027949,Test,4.64,4.9,MultiTaskTutorialDataset_130,4.9,True,4.6807313
MultiTaskTutorialDataset_131,C[C@H]1CCCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0027969,Test,4.03,4.87,MultiTaskTutorialDataset_131,4.87,True,5.1494617
MultiTaskTutorialDataset_132,O=C(Cc1cncc2ccccc12)N1CCc2[nH]cnc2C1,ASAP-0027975,Test,4.36,4.83,MultiTaskTutorialDataset_132,4.83,False,4.381398
MultiTaskTutorialDataset_133,O=C(Cc1cncc2ccccc12)N1CCc2sccc2C1,ASAP-0027976,Test,5.21,6.27,MultiTaskTutorialDataset_133,6.27,False,5.602584
MultiTaskTutorialDataset_134,C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0027994,Test,5.13,5.7,MultiTaskTutorialDataset_134,5.7,True,5.766424
MultiTaskTutorialDataset_135,O=C(Cc1cncc2ccccc12)N1CCCCCC1,ASAP-0027997,Test,4.51,4.74,MultiTaskTutorialDataset_135,4.74,True,5.481671
MultiTaskTutorialDataset_136,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc(C)c2)cc1,ASAP-0028001,Test,5.11,5.78,MultiTaskTutorialDataset_136,5.78,True,6.464205
MultiTaskTutorialDataset_137,O=C(Cc1cncc2ccccc12)N(Cc1cccc(Cl)c1)c1ccc2cc[nH]c2c1,ASAP-0028002,Test,5.63,6.23,MultiTaskTutorialDataset_137,6.23,True,6.1708856
MultiTaskTutorialDataset_138,C[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0028004,Test,3.99,4.63,MultiTaskTutorialDataset_138,4.63,True,5.0807714
MultiTaskTutorialDataset_139,C[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0028012,Test,4.42,4.37,MultiTaskTutorialDataset_139,4.37,True,4.6783733
MultiTaskTutorialDataset_140,C[C@H]1CN(C(=O)Cc2cncc3ccccc23)CCO1,ASAP-0028804,Test,4.24,4.09,MultiTaskTutorialDataset_140,4.09,True,4.692322
MultiTaskTutorialDataset_141,O=C(Cc1cncc2ccccc12)N1CCn2nccc2C1,ASAP-0028815,Test,4.28,4.16,MultiTaskTutorialDataset_141,4.16,False,4.5866895
MultiTaskTutorialDataset_142,Cc1nc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc2[nH]1,ASAP-0028818,Test,5.92,6.47,MultiTaskTutorialDataset_142,6.47,True,6.052444
MultiTaskTutorialDataset_143,C[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028819,Test,4.65,5.12,MultiTaskTutorialDataset_143,5.12,False,6.4023957
MultiTaskTutorialDataset_144,C[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028820,Test,5.52,6.51,MultiTaskTutorialDataset_144,6.51,False,6.4023957
MultiTaskTutorialDataset_145,O=C(Cc1cncc2ccccc12)N1CCc2c(Cl)cccc2C1,ASAP-0028823,Test,4.49,6.39,MultiTaskTutorialDataset_145,6.39,False,4.9554005
MultiTaskTutorialDataset_146,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0028829,Test,4.09,4.44,MultiTaskTutorialDataset_146,4.44,True,5.2623887
MultiTaskTutorialDataset_147,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cnccc2C)cc1,ASAP-0028832,Test,4.79,5.44,MultiTaskTutorialDataset_147,5.44,True,6.6792836
MultiTaskTutorialDataset_148,O=C(Cc1cncc2ccccc12)N1CCCn2nccc2C1,ASAP-0028833,Test,4.32,4.11,MultiTaskTutorialDataset_148,4.11,False,4.664974
MultiTaskTutorialDataset_149,CC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028837,Test,5.8,6.87,MultiTaskTutorialDataset_149,6.87,False,6.686138
MultiTaskTutorialDataset_150,CC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0028838,Test,4.64,5.18,MultiTaskTutorialDataset_150,5.18,False,6.686138
MultiTaskTutorialDataset_151,Cc1nc2c(n1C)CCN(C(=O)Cc1cncc3ccccc13)C2,ASAP-0028844,Test,4.26,4.4,MultiTaskTutorialDataset_151,4.4,False,4.454112
MultiTaskTutorialDataset_152,Cn1cnc2c1CCN(C(=O)Cc1cncc3ccccc13)C2,ASAP-0028855,Test,3.91,5.01,MultiTaskTutorialDataset_152,5.01,False,4.778386
MultiTaskTutorialDataset_153,CC1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0028856,Test,5.51,5.73,MultiTaskTutorialDataset_153,5.73,True,5.6801677
MultiTaskTutorialDataset_154,O=C(Cc1cncc2ccccc12)N1CCCCC1,ASAP-0028867,Test,4.11,4.22,MultiTaskTutorialDataset_154,4.22,True,5.481671
MultiTaskTutorialDataset_155,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)CCO1,ASAP-0028872,Test,3.75,4.35,MultiTaskTutorialDataset_155,4.35,True,4.670317
MultiTaskTutorialDataset_156,O=C(Cc1cncc2ccccc12)N(Cc1cccc(Cl)c1)c1ccc2nc[nH]c2c1,ASAP-0028999,Test,5.64,6.21,MultiTaskTutorialDataset_156,6.21,True,6.086784
MultiTaskTutorialDataset_157,CC(C)CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029287,Test,5.36,6.47,MultiTaskTutorialDataset_157,6.47,True,5.7870665
MultiTaskTutorialDataset_158,CC(F)(F)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029423,Test,4.58,6.23,MultiTaskTutorialDataset_158,6.23,True,5.781744
MultiTaskTutorialDataset_159,O=C(Cc1cncc2ccccc12)N1CCC(C(F)F)CC1,ASAP-0029539,Test,5.09,5.92,MultiTaskTutorialDataset_159,5.92,True,5.0139384
MultiTaskTutorialDataset_160,Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nncs3)c3cc(Cl)ccc3C2=O)n1,ASAP-0029560,Test,7.4,8.6,MultiTaskTutorialDataset_160,8.6,False,7.2815413
MultiTaskTutorialDataset_161,CC(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029604,Test,5.56,6.33,MultiTaskTutorialDataset_161,6.33,True,5.714159
MultiTaskTutorialDataset_162,C[C@H]1C[C@@H](C)N(C(=O)Cc2cncc3ccccc23)[C@@H](C)C1,ASAP-0029634,Test,5.49,5.87,MultiTaskTutorialDataset_162,5.87,True,5.0923214
MultiTaskTutorialDataset_163,Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnc(C)o3)c3cc(Cl)ccc3C2=O)n1,ASAP-0029643,Test,6.89,7.75,MultiTaskTutorialDataset_163,7.75,False,7.126137
MultiTaskTutorialDataset_164,CCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029657,Test,5.44,6.04,MultiTaskTutorialDataset_164,6.04,True,5.707987
MultiTaskTutorialDataset_165,Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnco3)c3cc(Cl)ccc3C2=O)n1,ASAP-0029694,Test,7.4,8.64,MultiTaskTutorialDataset_165,8.64,False,7.334899
MultiTaskTutorialDataset_166,CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0029707,Test,5.14,5.66,MultiTaskTutorialDataset_166,5.66,True,5.5215826
MultiTaskTutorialDataset_167,C[C@@H]1CCN(C(=O)Cc2cncc3ccccc23)[C@H](C)C1,ASAP-0029738,Test,5.57,5.68,MultiTaskTutorialDataset_167,5.68,True,5.3544736
MultiTaskTutorialDataset_168,Cc1nccc(CN2C[C@@]3(C(=O)N(c4cncc5ccccc45)C[C@@H]3CNc3nnc(C(F)(F)F)o3)c3cc(Cl)ccc3C2=O)n1,ASAP-0029741,Test,6.96,7.89,MultiTaskTutorialDataset_168,7.89,False,7.436407
MultiTaskTutorialDataset_169,O=C(Cc1cncc2ccccc12)N1CCC(C(F)(F)F)CC1,ASAP-0029947,Test,5.37,6.55,MultiTaskTutorialDataset_169,6.55,True,5.639476
MultiTaskTutorialDataset_170,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1cc[nH]n1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nncs1,ASAP-0029984,Test,6.73,8.24,MultiTaskTutorialDataset_170,8.24,False,7.483723
MultiTaskTutorialDataset_171,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1cc[nH]n1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nnc(C(F)(F)F)o1,ASAP-0029987,Test,6.69,7.67,MultiTaskTutorialDataset_171,7.67,False,7.5059595
MultiTaskTutorialDataset_172,COCC1CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0030055,Test,3.87,4.89,MultiTaskTutorialDataset_172,4.89,True,4.758285
MultiTaskTutorialDataset_173,CC(C)C1(F)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0031146,Test,5.56,6.21,MultiTaskTutorialDataset_173,6.21,True,5.644471
MultiTaskTutorialDataset_174,CCc1ccc([C@H]2C[C@H](C)CCN2C(=O)Cc2cncc3ccccc23)o1,ASAP-0031187,Test,6.16,6.57,MultiTaskTutorialDataset_174,6.57,False,5.6197143
MultiTaskTutorialDataset_175,Cc1cncc(CC(=O)N2CCc3sccc3C2)c1,ASAP-0031213,Test,4.07,5.3,MultiTaskTutorialDataset_175,5.3,True,6.0664496
MultiTaskTutorialDataset_176,O=C(Cc1cncc2ccccc12)N1CCc2scnc2C1,ASAP-0031242,Test,4.63,5.92,MultiTaskTutorialDataset_176,5.92,False,4.941683
MultiTaskTutorialDataset_177,CC(C)C1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0031372,Test,4.85,6.13,MultiTaskTutorialDataset_177,6.13,True,5.6970997
MultiTaskTutorialDataset_178,O=C(Cc1cncc2ccccc12)N1CCc2sccc2C12CCC2,ASAP-0031411,Test,5.63,7.14,MultiTaskTutorialDataset_178,7.14,True,5.4546576
MultiTaskTutorialDataset_179,CC1(CC(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0031442,Test,4.48,5.81,MultiTaskTutorialDataset_179,5.81,True,5.733814
MultiTaskTutorialDataset_180,CC(C)[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0031558,Test,5.62,7.08,MultiTaskTutorialDataset_180,7.08,False,6.2814445
MultiTaskTutorialDataset_181,CC(C)CNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,ASAP-0031921,Test,5.47,5.35,MultiTaskTutorialDataset_181,5.35,True,6.475119
MultiTaskTutorialDataset_182,CC(C)CC1(C(F)(F)F)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0031922,Test,5.46,7.06,MultiTaskTutorialDataset_182,7.06,True,5.3521223
MultiTaskTutorialDataset_183,CC(C)NS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,ASAP-0031924,Test,4.91,5.51,MultiTaskTutorialDataset_183,5.51,True,6.345524
MultiTaskTutorialDataset_184,COC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0031934,Test,4.8,5.42,MultiTaskTutorialDataset_184,5.42,False,6.104408
MultiTaskTutorialDataset_185,COC[C@H]1c2ccsc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0031935,Test,5.5,6.58,MultiTaskTutorialDataset_185,6.58,False,6.104408
MultiTaskTutorialDataset_186,CCNS(=O)(=O)OCC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,ASAP-0031945,Test,4.21,6.67,MultiTaskTutorialDataset_186,6.67,True,6.320749
MultiTaskTutorialDataset_187,O=C(Cc1cncc2ccccc12)N1CC[C@@H]2CCCC[C@@H]2C1,ASAP-0031946,Test,5.21,5.82,MultiTaskTutorialDataset_187,5.82,True,5.5350018
MultiTaskTutorialDataset_188,CN(C)C(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031960,Test,4.21,4.55,MultiTaskTutorialDataset_188,4.55,True,4.823396
MultiTaskTutorialDataset_189,COC(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031961,Test,4.32,4.49,MultiTaskTutorialDataset_189,4.49,True,4.3230443
MultiTaskTutorialDataset_190,CNC(=O)C[C@@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0031964,Test,4.35,4.34,MultiTaskTutorialDataset_190,4.34,True,4.6196737
MultiTaskTutorialDataset_191,CN(C)C(=O)CN(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,ASAP-0031969,Test,4.73,5.21,MultiTaskTutorialDataset_191,5.21,True,5.086153
MultiTaskTutorialDataset_192,CC(C)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031980,Test,4.27,5.68,MultiTaskTutorialDataset_192,5.68,True,5.190423
MultiTaskTutorialDataset_193,CC(C)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0031981,Test,4.94,4.58,MultiTaskTutorialDataset_193,4.58,True,5.190423
MultiTaskTutorialDataset_194,C[C@H]1c2cccnc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032038,Test,4.27,4.37,MultiTaskTutorialDataset_194,4.37,False,4.490631
MultiTaskTutorialDataset_195,C[C@H]1c2cccnc2CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032039,Test,4.28,4.19,MultiTaskTutorialDataset_195,4.19,False,4.490631
MultiTaskTutorialDataset_196,C[C@H]1C[C@H](C(C)(F)F)CCN1C(=O)Cc1cncc2ccccc12,ASAP-0032061,Test,4.91,6.2,MultiTaskTutorialDataset_196,6.2,True,5.946851
MultiTaskTutorialDataset_197,C=CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032065,Test,4.06,4.64,MultiTaskTutorialDataset_197,4.64,True,4.6091814
MultiTaskTutorialDataset_198,C=CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032066,Test,4.35,5.33,MultiTaskTutorialDataset_198,5.33,True,4.6091814
MultiTaskTutorialDataset_199,CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032096,Test,4.41,5.28,MultiTaskTutorialDataset_199,5.28,True,5.296218
MultiTaskTutorialDataset_200,CC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032097,Test,3.8,4.34,MultiTaskTutorialDataset_200,4.34,True,5.296218
MultiTaskTutorialDataset_201,CC(C)(O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032107,Test,4.26,4.55,MultiTaskTutorialDataset_201,4.55,True,4.443308
MultiTaskTutorialDataset_202,O=C(Cc1cncc2ccccc12)N1CCc2sccc2[C@H]1c1ccccc1,ASAP-0032122,Test,5.2,5.65,MultiTaskTutorialDataset_202,5.65,False,6.4607882
MultiTaskTutorialDataset_203,O=C(Cc1cncc2ccccc12)N1CCc2sccc2[C@H]1c1ccccc1,ASAP-0032123,Test,5.59,7.01,MultiTaskTutorialDataset_203,7.01,False,6.4607882
MultiTaskTutorialDataset_204,CC(C)c1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,ASAP-0032153,Test,5.59,4.82,MultiTaskTutorialDataset_204,4.82,True,4.658834
MultiTaskTutorialDataset_205,COC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032154,Test,3.98,4.09,MultiTaskTutorialDataset_205,4.09,True,4.0536137
MultiTaskTutorialDataset_206,COC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032155,Test,4.54,4.44,MultiTaskTutorialDataset_206,4.44,True,4.0536137
MultiTaskTutorialDataset_207,O=C(Cc1cncc2ccccc12)N1CCC[C@H](CF)C1,ASAP-0032158,Test,3.84,4.53,MultiTaskTutorialDataset_207,4.53,True,4.911467
MultiTaskTutorialDataset_208,CCc1cc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)on1,ASAP-0032161,Test,4.5,4.54,MultiTaskTutorialDataset_208,4.54,True,4.3491473
MultiTaskTutorialDataset_209,COCC1(CC2CC2)CCN(C(=O)Cc2cncc3ccccc23)CC1,ASAP-0032167,Test,4.31,4.92,MultiTaskTutorialDataset_209,4.92,True,4.8707385
MultiTaskTutorialDataset_210,Cc1cccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)c1C,ASAP-0032168,Test,5.82,5.36,MultiTaskTutorialDataset_210,5.36,True,4.6511025
MultiTaskTutorialDataset_211,COC[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032174,Test,4.26,4.14,MultiTaskTutorialDataset_211,4.14,True,4.698141
MultiTaskTutorialDataset_212,COCc1cccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)c1,ASAP-0032180,Test,5.07,5.06,MultiTaskTutorialDataset_212,5.06,True,4.9059944
MultiTaskTutorialDataset_213,C#Cc1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,ASAP-0032181,Test,5.66,4.85,MultiTaskTutorialDataset_213,4.85,True,4.650327
MultiTaskTutorialDataset_214,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccccc1F,ASAP-0032183,Test,5.17,5.19,MultiTaskTutorialDataset_214,5.19,True,4.7117558
MultiTaskTutorialDataset_215,O=C(Cc1cncc2ccccc12)N1CCC[C@H](CCF)C1,ASAP-0032184,Test,4.06,5.16,MultiTaskTutorialDataset_215,5.16,True,5.09973
MultiTaskTutorialDataset_216,O=C(Cc1cncc2ccccc12)N1CCC[C@H](CCF)C1,ASAP-0032185,Test,4.63,4.36,MultiTaskTutorialDataset_216,4.36,True,5.09973
MultiTaskTutorialDataset_217,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1ccc(F)cc1F,ASAP-0032189,Test,5.0,5.26,MultiTaskTutorialDataset_217,5.26,True,4.9479833
MultiTaskTutorialDataset_218,Cc1cc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)on1,ASAP-0032194,Test,4.35,4.49,MultiTaskTutorialDataset_218,4.49,True,4.607192
MultiTaskTutorialDataset_219,COc1ccccc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032201,Test,5.05,4.98,MultiTaskTutorialDataset_219,4.98,False,5.213886
MultiTaskTutorialDataset_220,Cn1cncc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032210,Test,4.44,4.11,MultiTaskTutorialDataset_220,4.11,True,4.283854
MultiTaskTutorialDataset_221,Cn1cccc1[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032218,Test,4.73,5.1,MultiTaskTutorialDataset_221,5.1,True,4.009235
MultiTaskTutorialDataset_222,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1nccs1,ASAP-0032220,Test,4.31,4.55,MultiTaskTutorialDataset_222,4.55,True,4.530469
MultiTaskTutorialDataset_223,O=C(Cc1cncc2ccccc12)N1CCCC[C@H]1c1cc(Cl)ccc1F,ASAP-0032233,Test,5.01,6.3,MultiTaskTutorialDataset_223,6.3,True,5.4821424
MultiTaskTutorialDataset_224,CC(C)CC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032240,Test,4.7,4.94,MultiTaskTutorialDataset_224,4.94,True,4.686193
MultiTaskTutorialDataset_225,CC(C)CC[C@H]1CCCCN1C(=O)Cc1cncc2ccccc12,ASAP-0032241,Test,5.04,5.31,MultiTaskTutorialDataset_225,5.31,True,4.686193
MultiTaskTutorialDataset_226,C[C@H]1C[C@H](C)CN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032242,Test,4.95,4.28,MultiTaskTutorialDataset_226,4.28,True,5.0018187
MultiTaskTutorialDataset_227,CC(C)[C@]1(O)CCCN(C(=O)Cc2cncc3ccccc23)C1,ASAP-0032246,Test,4.37,4.31,MultiTaskTutorialDataset_227,4.31,True,4.5822845
MultiTaskTutorialDataset_228,COc1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1F,ASAP-0032252,Test,5.57,4.85,MultiTaskTutorialDataset_228,4.85,True,5.35984
